NOMBRE,numhogares,area,densidadPoblacional,estrato_asignado,personasReal,num_ferreterias,num_tiendasPinturas,num_construcciones,num_industriales,num_clientes,primary,secondary,tertiary,trunk,valResidencial,valComercial
DOCE DE OCTUBRE,22350,3.404789,17621.943679916727,3,46982,20,3,3.0,0,10,2.0,11.0,11.0,2.0,2828574.339422222,1109507.8197777777
EL MOCHUELO,54,3.205949,48.34761875500827,2,98,0,0,,0,0,0.0,0.0,1.0,0.0,2411854.51,0.0
EL PORVENIR,41192,4.667841,27221.57845565005,2,85261,2,1,5.0,1,0,0.0,2.0,12.0,0.0,1455113.2054210524,388961.6772631579
EL PRADO,37413,4.38912,22250.246062992126,4,78403,42,10,4.0,1,21,5.0,3.0,7.0,1.0,2691251.593443396,1757198.38254717
EL REFUGIO,15199,3.401927,10632.50328416806,6,29660,5,0,,0,3,9.0,12.0,16.0,0.0,4222739.914184783,1990046.2710869566
EL RINCON,89401,7.191313,36866.56386670974,2,192238,77,8,,4,42,7.0,4.0,34.0,0.0,1923203.7522334005,750551.0807847081
EL TESORO,15080,2.134322,21020.258423986634,1,28957,3,0,2.0,0,1,0.0,0.0,36.0,2.0,1097407.1803333333,0.0
ENGATIVA,45524,5.950898,23355.80277127923,2,98958,32,14,,5,16,0.0,2.0,37.0,0.0,1613664.1715542523,289924.86970674485
FONTIBON,44534,5.027017,25312.625757979335,3,95502,36,4,5.0,10,26,1.0,5.0,31.0,0.0,2037665.6016666668,1116268.8318954248
FONTIBON SAN PABLO,10616,3.645136,8714.352496038557,2,22567,11,1,4.0,11,10,2.0,5.0,9.0,0.0,1328653.524,372028.48244444444
